id,name,installed_capacity_MW,type,country_code,lat,lon,dam_height_m,volume_Mm3,storage_capacity_MWh,pypsa_id,GEO
1,Grande Dixence Hydroelectric Power Scheme Switzerland - Grande Dixence Hydroelectric Power Scheme Switzerland,2069,HDAM,CH,46.0731,7.4034,285,400,1764300,,45218
2,Dinorwig,1728,HPHS,GB,53.1187439999999,-4.113624,,6.7,9100,23,2941
3,Grand maison GRAND MAISON 1 - Grand Maison Pumped Storage Hydroelectric Power Station France,1690,HPHS,FR,45.20597,6.11719,160,132,34800,1541,42969
4,Muela,1516.76,HPHS,ES,39.243581,-0.931709,450,20,24500,209,
5,Psw vianden Vianden 1 - Vianden Pumped Storage Power Plant Luxembourg,1291,HPHS,LU,49.9515671281818,6.18003128690909,280,7.34,4478,1551,45216
6,Aldeadavila,1226.43,HPHS,ES,41.2093349999999,-6.686566,139.5,56.6,35000,21,43823
7,ChePortileDeFier_PFIERI1_CA - Iron Gate I Hydroelectric Power Station Romania,1165.8000000000002,HDAM,RO,44.673,22.532,60,2100,,3705,40975
8,Coo trois ponts,1164,HPHS,BE,50.3717154,5.8703455,275,8.5,5000,830,41951
9,Chiotas entracque,1124,HPHS,IT,44.1775758,7.4165053,130,30.18,16860,831,45432
10,HE Derdap 1 G1 - Djerdap-1 (Iron Gate I) Hydroelectric Power Station Serbia,1083,HDAM,RS,44.668999,22.527,,2100,343350,,44111
11,Goldisthal PSW Goldisthal PSS A - Goldisthal Pumped Storage Power Plant Germany,1052,HPHS,DE,50.50975864,11.02087498,302,12,8050,1540,44336
12,Markersbach PSW Markersbach PSS A - Markersbach Pumped Storage Power Plant Germany,1045.2,HPHS,DE,50.51938,12.87976,285,6.3,3989,1545,44337
13,Presenzano UP_PRESENZAN_1 - Presenzano (Domenico Cimarosa) Pumped Storage Power Plant Italy,1005,HPHS,IT,41.380906,14.09146,45,6,15075,18,45430
14,Roncovalgrande UP_RONCOVALG_1PS - Roncovalgrande Pumped Storage Power Plant Italy,1000,HPHS,IT,46.067588,8.731877,,10,17700,19,45431
15,Edolo UP_EDOLO_1 - Edolo Pumped Storage Hydroelectric Power Plant Italy,950,HPHS,IT,46.172153,10.344367,37.5,17.04,4900,14,43971
16,"JM,ORIOL 1 - Jose Maria de Oriol (Alcantara) Hydroelectric Power Plant Spain",934,HDAM,ES,39.730301,-6.8849,130,3162,970100,161,43822
17,Montezic MONTEZIC 1 - Montezic Pump Storage Hydroelectric Power Station France,910,HPHS,FR,44.73766,2.64342,423,34,31573,1546,42240
18,Wehr Kraftwerk Wehr - Wehr Pumped Storage Hydroelectric Power Plant Germany,910,HPHS,DE,47.64529898,7.91819945,,4.4,7900,1563,44456
19,Kruonis & extension Kruonio KHAE-----HA1 - Kruonis Pumped Storage Hydroelectric Power Plant Lithuania,900,HPHS,LT,54.797866,24.248169,,41,,2891,42161
20,Nant drance NANT DE DRANCE - Nant de Drance Pumped Storage Power Plant Switzerland,900,HPHS,CH,46.1025948,7.07705509999999,45,13.8,,2910,45484
21,Bissorte Hydroelectric Power Station France - Bissorte Hydroelectric Power Station France,883,HDAM,FR,45.202,6.585,63,39.5,,,39783
22,Plavinas hpp Plavinas HPP - Plavinas Hydroelectric Power Plant Latvia,869,HDAM,LV,56.583,25.2394,58,510,46330,2964,42156
23,PSHPP_CHAIRA_GP1 - Chaira Pumped Storage Hydroelectric Power Plant Bulgaria,864,HPHS,BG,42.159,23.871,690,76.08374298190893,,2901,42172
24,Harsprånget Harspranget G1 - Harspranget Hydroelectric Power Station Sweden,855,HDAM,SE,66.885308999999907,19.818399,51,6.4,,2,42916
25,Villarino VLLRINO 1G - Almendra (Villarino) Hydroelectric Power Plant Spain,850.88,HPHS,ES,41.271328,-6.320278,202,2648,3458000,26,43825
26,Revin REVIN 1 - Revin Pump Storage Hydroelectric Power Station France,808,HPHS,FR,49.92556,4.61331,233,8.7,4503,1549,45157
27,Kopswerk Kopswerk 2 M1 - Kops II Pumped Storage Power Plant Austria,525,HPHS,AT,46.96845,10.05986,,42,2300,1560,45211
28,Super bissorte SUPER BISSORTE 1 - Super-Bissorte Pumped Storage Hydroelectric Power Station France,742.3,HPHS,FR,45.1803,6.5797,,40,3200,1536,44379
29,Venda Nova III,736,HPHS,PT,41.692695,-8.027817,,,,2908,43565
30,Čierny váh Cierny Vah TG1 - Cierny Vah Pumped Storage Hydroelectric Power Plant Slovakia,735.16,HPHS,SK,49.0091,19.91203,,3.7,,1556,42635
31,Malta hauptstufe Malta-Hauptstufe-KW - Malta Haupstufe (Rottau)  Pumped Storage Power Plant Austria,730,HDAM,AT,46.870564,13.329601,50,6.2,16100,1543,44815
32,Gabčíkovo Gabcikovo - Gabcikovo Hydroelectric Power Plant Slovakia,720,HDAM,SK,47.88004,17.53841,,,,1724,42637
33,Żarnowiec Zarnowiec H1 - Zarnowiec Pumped Storage Hydroelectric Power Plant Poland,716,HPHS,PL,54.7697655,18.0466655,,,3600,1553,42483
34,Schluchsee,699,HPHS,DE,47.648998,7.969,,,,,
35,Grimsel KWO ProduktionPS - Grimsel 3 Pumped Storage Power Plant Switzerland,660,HPHS,CH,46.5680720667,8.31932651704,,,210,,
36,Grosio UP_PREM-GROSIO_1,655,HROR,IT,46.489007,10.294052,,1.2,1700,243,
37,EDST_G1____ - Dlouhe Strane Pumped Storage Hydroelectric Power Plant Czech Republic,650,HPHS,CZ,50.083,17.181,56,2.72,,3065,42364
38,Alto lindoso Alto Lindoso - G1 - Alto Lindoso Hydroelectric Power Plant Portugal,630,HDAM,PT,41.872,-8.2025,110,348,237000,2914,43535
39,RHE Bajina Basta G1 - Bajina Basta Pumped Storage Hydroelectric Power Plant Serbia,614,HPHS,RS,43.865002,19.406,42,150,,,44122
40,Komani - KOMANG1,600,HDAM,AL,42.104,19.826,133,450,,,
41,Bathie BATHIE - Bathie (La) Hydroelectric Power Station France,576,HDAM,FR,45.68545,6.62248999999999,150,185,567200,1575,39814
42,Stornorrfors Stornorrfors G1 - Stornorrfors Hydroelectric Power Station Sweden,575,HDAM,SE,63.85198,20.051344,75,,,11,42911
